[2019-06-23 13:43:00,901][DEBUG]:  VGG11 | train set size:286x16 | val set size:158x16 | input size:(64, 64) | class num:62 | lr: 0.010000
[2019-06-23 14:07:12,586][INFO]: VGG11 | epoch:68/100 | tol_epoch:68 | loss:0.0005 | acc:100.0% | val_loss:1.6797 | val_acc:97.6984% | lr:0.000563 | time: 19s926ms
[2019-06-23 14:07:33,150][INFO]: VGG11 | epoch:69/100 | tol_epoch:69 | loss:0.0005 | acc:100.0% | val_loss:1.6804 | val_acc:97.6984% | lr:0.000687 | time: 20s563ms
[2019-06-23 14:07:53,710][INFO]: VGG11 | epoch:70/100 | tol_epoch:70 | loss:0.0005 | acc:100.0% | val_loss:1.6831 | val_acc:97.6984% | lr:0.000823 | time: 20s558ms
[2019-06-23 14:08:17,101][INFO]: VGG11 | epoch:71/100 | tol_epoch:71 | loss:0.0006 | acc:100.0% | val_loss:1.6857 | val_acc:97.6984% | lr:0.000971 | time: 20s241ms
[2019-06-23 14:08:37,436][INFO]: VGG11 | epoch:72/100 | tol_epoch:72 | loss:0.0006 | acc:100.0% | val_loss:1.6879 | val_acc:97.6984% | lr:0.001130 | time: 20s332ms
[2019-06-23 14:08:57,789][INFO]: VGG11 | epoch:73/100 | tol_epoch:73 | loss:0.0005 | acc:100.0% | val_loss:1.6901 | val_acc:97.6984% | lr:0.001300 | time: 20s352ms
[2019-06-23 14:09:18,094][INFO]: VGG11 | epoch:74/100 | tol_epoch:74 | loss:0.0006 | acc:100.0% | val_loss:1.7048 | val_acc:97.6984% | lr:0.001480 | time: 20s303ms
[2019-06-23 14:09:38,550][INFO]: VGG11 | epoch:75/100 | tol_epoch:75 | loss:0.0004 | acc:100.0% | val_loss:1.7009 | val_acc:97.6587% | lr:0.001670 | time: 20s454ms
[2019-06-23 14:10:10,396][INFO]: VGG11 | epoch:76/100 | tol_epoch:76 | loss:0.0004 | acc:100.0% | val_loss:1.7070 | val_acc:97.6587% | lr:0.001869 | time: 20s319ms
[2019-06-23 14:10:30,591][INFO]: VGG11 | epoch:77/100 | tol_epoch:77 | loss:0.0008 | acc:100.0% | val_loss:1.7016 | val_acc:97.6190% | lr:0.002076 | time: 20s194ms
[2019-06-23 14:10:50,843][INFO]: VGG11 | epoch:78/100 | tol_epoch:78 | loss:0.0005 | acc:100.0% | val_loss:1.7094 | val_acc:97.6190% | lr:0.002292 | time: 20s250ms
[2019-06-23 14:11:11,089][INFO]: VGG11 | epoch:79/100 | tol_epoch:79 | loss:0.0015 | acc:100.0% | val_loss:1.9404 | val_acc:97.3810% | lr:0.002515 | time: 20s243ms
[2019-06-23 14:11:31,716][INFO]: VGG11 | epoch:80/100 | tol_epoch:80 | loss:0.0007 | acc:100.0% | val_loss:1.9584 | val_acc:97.3016% | lr:0.002745 | time: 20s626ms
[2019-06-23 14:11:55,276][INFO]: VGG11 | epoch:81/100 | tol_epoch:81 | loss:0.0004 | acc:100.0% | val_loss:1.9708 | val_acc:97.2619% | lr:0.002981 | time: 20s584ms
[2019-06-23 14:12:15,418][INFO]: VGG11 | epoch:82/100 | tol_epoch:82 | loss:0.0004 | acc:100.0% | val_loss:1.9851 | val_acc:97.3413% | lr:0.003223 | time: 20s138ms
[2019-06-23 14:12:35,700][INFO]: VGG11 | epoch:83/100 | tol_epoch:83 | loss:0.0005 | acc:100.0% | val_loss:1.9319 | val_acc:97.3413% | lr:0.003470 | time: 20s281ms
[2019-06-23 14:12:55,935][INFO]: VGG11 | epoch:84/100 | tol_epoch:84 | loss:0.0005 | acc:100.0% | val_loss:1.9423 | val_acc:97.4206% | lr:0.003721 | time: 20s233ms
[2019-06-23 14:13:16,122][INFO]: VGG11 | epoch:85/100 | tol_epoch:85 | loss:0.0010 | acc:100.0% | val_loss:2.0288 | val_acc:97.3413% | lr:0.003975 | time: 20s185ms
[2019-06-23 14:13:48,077][INFO]: VGG11 | epoch:86/100 | tol_epoch:86 | loss:0.0004 | acc:100.0% | val_loss:2.0006 | val_acc:97.3810% | lr:0.004232 | time: 20s328ms
[2019-06-23 14:14:08,364][INFO]: VGG11 | epoch:87/100 | tol_epoch:87 | loss:0.0003 | acc:100.0% | val_loss:2.0000 | val_acc:97.3810% | lr:0.004492 | time: 20s285ms
[2019-06-23 14:14:28,911][INFO]: VGG11 | epoch:88/100 | tol_epoch:88 | loss:0.0004 | acc:100.0% | val_loss:2.0117 | val_acc:97.3413% | lr:0.004753 | time: 20s546ms
[2019-06-23 14:14:49,232][INFO]: VGG11 | epoch:89/100 | tol_epoch:89 | loss:0.0002 | acc:100.0% | val_loss:2.0114 | val_acc:97.3810% | lr:0.005014 | time: 20s319ms
[2019-06-23 14:15:09,351][INFO]: VGG11 | epoch:90/100 | tol_epoch:90 | loss:0.0002 | acc:100.0% | val_loss:2.0198 | val_acc:97.3810% | lr:0.005276 | time: 20s117ms
[2019-06-23 14:15:32,625][INFO]: VGG11 | epoch:91/100 | tol_epoch:91 | loss:0.0002 | acc:100.0% | val_loss:2.0227 | val_acc:97.4206% | lr:0.005537 | time: 20s239ms
[2019-06-23 14:15:52,850][INFO]: VGG11 | epoch:92/100 | tol_epoch:92 | loss:0.0002 | acc:100.0% | val_loss:2.0312 | val_acc:97.3810% | lr:0.005797 | time: 20s224ms
[2019-06-23 14:16:13,279][INFO]: VGG11 | epoch:93/100 | tol_epoch:93 | loss:0.0004 | acc:100.0% | val_loss:2.0533 | val_acc:97.4603% | lr:0.006054 | time: 20s428ms
[2019-06-23 14:16:33,523][INFO]: VGG11 | epoch:94/100 | tol_epoch:94 | loss:0.0001 | acc:100.0% | val_loss:2.0626 | val_acc:97.4603% | lr:0.006308 | time: 20s241ms
[2019-06-23 14:16:53,830][INFO]: VGG11 | epoch:95/100 | tol_epoch:95 | loss:0.0001 | acc:100.0% | val_loss:2.0692 | val_acc:97.4603% | lr:0.006559 | time: 20s304ms
[2019-06-23 14:17:25,259][INFO]: VGG11 | epoch:96/100 | tol_epoch:96 | loss:0.0002 | acc:100.0% | val_loss:2.0777 | val_acc:97.4206% | lr:0.006806 | time: 20s370ms
