[2019-06-22 14:21:55,940][INFO]: LeNet | epoch:80/100 | tol_epoch:80 | loss:0.0008 | acc:100.0% | val_loss:7.4613 | val_acc:89.4444% | time:16s191ms
[2019-06-22 14:22:12,358][INFO]: LeNet | epoch:81/100 | tol_epoch:81 | loss:0.0007 | acc:100.0% | val_loss:7.4691 | val_acc:89.4444% | time:16s204ms
[2019-06-22 14:22:28,556][INFO]: LeNet | epoch:82/100 | tol_epoch:82 | loss:0.0008 | acc:100.0% | val_loss:7.4709 | val_acc:89.4444% | time:16s196ms
[2019-06-22 14:22:44,700][INFO]: LeNet | epoch:83/100 | tol_epoch:83 | loss:0.0008 | acc:100.0% | val_loss:7.4738 | val_acc:89.4444% | time:16s143ms
[2019-06-22 14:23:00,913][INFO]: LeNet | epoch:84/100 | tol_epoch:84 | loss:0.0009 | acc:100.0% | val_loss:7.4750 | val_acc:89.4444% | time:16s212ms
[2019-06-22 14:23:17,085][INFO]: LeNet | epoch:85/100 | tol_epoch:85 | loss:0.0008 | acc:100.0% | val_loss:7.4787 | val_acc:89.4444% | time:16s170ms
[2019-06-22 14:23:33,479][INFO]: LeNet | epoch:86/100 | tol_epoch:86 | loss:0.0006 | acc:100.0% | val_loss:7.4822 | val_acc:89.4444% | time:16s174ms
[2019-06-22 14:23:49,810][INFO]: LeNet | epoch:87/100 | tol_epoch:87 | loss:0.0007 | acc:100.0% | val_loss:7.4889 | val_acc:89.4444% | time:16s329ms
[2019-06-22 14:24:06,076][INFO]: LeNet | epoch:88/100 | tol_epoch:88 | loss:0.0007 | acc:100.0% | val_loss:7.4897 | val_acc:89.4444% | time:16s264ms
[2019-06-22 14:24:22,302][INFO]: LeNet | epoch:89/100 | tol_epoch:89 | loss:0.0006 | acc:100.0% | val_loss:7.4934 | val_acc:89.4048% | time:16s225ms
[2019-06-22 14:24:38,598][INFO]: LeNet | epoch:90/100 | tol_epoch:90 | loss:0.0006 | acc:100.0% | val_loss:7.4964 | val_acc:89.4048% | time:16s294ms
[2019-06-22 14:24:55,105][INFO]: LeNet | epoch:91/100 | tol_epoch:91 | loss:0.0007 | acc:100.0% | val_loss:7.4997 | val_acc:89.4048% | time:16s282ms
[2019-06-22 14:25:11,349][INFO]: LeNet | epoch:92/100 | tol_epoch:92 | loss:0.0006 | acc:100.0% | val_loss:7.5054 | val_acc:89.4048% | time:16s243ms
[2019-06-22 14:25:27,567][INFO]: LeNet | epoch:93/100 | tol_epoch:93 | loss:0.0007 | acc:100.0% | val_loss:7.5072 | val_acc:89.4048% | time:16s216ms
[2019-06-22 14:25:43,825][INFO]: LeNet | epoch:94/100 | tol_epoch:94 | loss:0.0006 | acc:100.0% | val_loss:7.5130 | val_acc:89.4048% | time:16s256ms
[2019-06-22 14:26:00,066][INFO]: LeNet | epoch:95/100 | tol_epoch:95 | loss:0.0005 | acc:100.0% | val_loss:7.5213 | val_acc:89.4048% | time:16s241ms
[2019-06-22 14:26:16,537][INFO]: LeNet | epoch:96/100 | tol_epoch:96 | loss:0.0007 | acc:100.0% | val_loss:7.5219 | val_acc:89.4048% | time:16s251ms
[2019-06-22 14:26:32,815][INFO]: LeNet | epoch:97/100 | tol_epoch:97 | loss:0.0005 | acc:100.0% | val_loss:7.5245 | val_acc:89.4444% | time:16s276ms
[2019-06-22 14:26:49,049][INFO]: LeNet | epoch:98/100 | tol_epoch:98 | loss:0.0006 | acc:100.0% | val_loss:7.5296 | val_acc:89.4444% | time:16s232ms
[2019-06-22 14:27:05,318][INFO]: LeNet | epoch:99/100 | tol_epoch:99 | loss:0.0006 | acc:100.0% | val_loss:7.5289 | val_acc:89.4444% | time:16s268ms
[2019-06-22 14:27:21,585][INFO]: LeNet | epoch:100/100 | tol_epoch:100 | loss:0.0007 | acc:100.0% | val_loss:7.5310 | val_acc:89.4444% | time:16s265ms
