[2019-06-23 18:57:43,974][DEBUG]:  AlexNet | train set size:286x16 | val set size:158x16 | input size:(64, 64) | class num:62 | lr: 0.005000
[2019-06-23 19:16:47,309][INFO]: AlexNet | epoch:65/100 | tol_epoch:65 | loss:0.0012 | acc:100.0% | val_loss:2.7210 | val_acc:95.0397% | lr:0.000133 | time: 17s185ms
[2019-06-23 19:17:05,753][INFO]: AlexNet | epoch:66/100 | tol_epoch:66 | loss:0.0016 | acc:100.0% | val_loss:2.7200 | val_acc:95.0000% | lr:0.000176 | time: 17s155ms
[2019-06-23 19:17:22,885][INFO]: AlexNet | epoch:67/100 | tol_epoch:67 | loss:0.0013 | acc:100.0% | val_loss:2.7209 | val_acc:95.0000% | lr:0.000225 | time: 17s131ms
[2019-06-23 19:17:40,047][INFO]: AlexNet | epoch:68/100 | tol_epoch:68 | loss:0.0011 | acc:100.0% | val_loss:2.7230 | val_acc:95.0397% | lr:0.000281 | time: 17s159ms
[2019-06-23 19:17:57,208][INFO]: AlexNet | epoch:69/100 | tol_epoch:69 | loss:0.0016 | acc:100.0% | val_loss:2.7266 | val_acc:95.0397% | lr:0.000344 | time: 17s159ms
[2019-06-23 19:18:14,360][INFO]: AlexNet | epoch:70/100 | tol_epoch:70 | loss:0.0017 | acc:100.0% | val_loss:2.7285 | val_acc:94.9603% | lr:0.000412 | time: 17s151ms
[2019-06-23 19:18:32,846][INFO]: AlexNet | epoch:71/100 | tol_epoch:71 | loss:0.0013 | acc:100.0% | val_loss:2.7338 | val_acc:95.0397% | lr:0.000486 | time: 17s173ms
[2019-06-23 19:18:49,964][INFO]: AlexNet | epoch:72/100 | tol_epoch:72 | loss:0.0013 | acc:100.0% | val_loss:2.7403 | val_acc:95.0794% | lr:0.000565 | time: 17s116ms
[2019-06-23 19:19:07,159][INFO]: AlexNet | epoch:73/100 | tol_epoch:73 | loss:0.0020 | acc:100.0% | val_loss:2.7278 | val_acc:95.0000% | lr:0.000650 | time: 17s194ms
[2019-06-23 19:19:24,369][INFO]: AlexNet | epoch:74/100 | tol_epoch:74 | loss:0.0035 | acc:100.0% | val_loss:2.7411 | val_acc:95.0794% | lr:0.000740 | time: 17s208ms
[2019-06-23 19:19:41,532][INFO]: AlexNet | epoch:75/100 | tol_epoch:75 | loss:0.0011 | acc:100.0% | val_loss:2.7453 | val_acc:95.1190% | lr:0.000835 | time: 17s159ms
