[2019-06-22 18:01:45,315][DEBUG]:  LeNet | train set size:286x16 | val set size:158x16 | input size:(64, 64) | class num:62 | lr: 0.010000
[2019-06-22 18:16:47,244][INFO]: LeNet | epoch:83/100 | tol_epoch:83 | loss:0.0003 | acc:100.0% | val_loss:2.2081 | val_acc:95.0794% | lr:0.003470 | time: 10s781ms
[2019-06-22 18:16:58,011][INFO]: LeNet | epoch:84/100 | tol_epoch:84 | loss:0.0003 | acc:100.0% | val_loss:2.2095 | val_acc:95.0794% | lr:0.003721 | time: 10s765ms
[2019-06-22 18:17:08,840][INFO]: LeNet | epoch:85/100 | tol_epoch:85 | loss:0.0003 | acc:100.0% | val_loss:2.2163 | val_acc:95.0794% | lr:0.003975 | time: 10s828ms
[2019-06-22 18:17:19,615][INFO]: LeNet | epoch:86/100 | tol_epoch:86 | loss:0.0003 | acc:100.0% | val_loss:2.2179 | val_acc:95.0397% | lr:0.004232 | time: 10s759ms
[2019-06-22 18:17:30,441][INFO]: LeNet | epoch:87/100 | tol_epoch:87 | loss:0.0003 | acc:100.0% | val_loss:2.2237 | val_acc:95.0397% | lr:0.004492 | time: 10s825ms
[2019-06-22 18:17:41,250][INFO]: LeNet | epoch:88/100 | tol_epoch:88 | loss:0.0003 | acc:100.0% | val_loss:2.2302 | val_acc:95.0794% | lr:0.004753 | time: 10s808ms
[2019-06-22 18:17:52,037][INFO]: LeNet | epoch:89/100 | tol_epoch:89 | loss:0.0002 | acc:100.0% | val_loss:2.2358 | val_acc:95.0794% | lr:0.005014 | time: 10s785ms
[2019-06-22 18:18:02,780][INFO]: LeNet | epoch:90/100 | tol_epoch:90 | loss:0.0002 | acc:100.0% | val_loss:2.2442 | val_acc:95.0794% | lr:0.005276 | time: 10s742ms
[2019-06-22 18:18:13,713][INFO]: LeNet | epoch:91/100 | tol_epoch:91 | loss:0.0002 | acc:100.0% | val_loss:2.2502 | val_acc:95.1190% | lr:0.005537 | time: 10s916ms
[2019-06-22 18:18:24,653][INFO]: LeNet | epoch:92/100 | tol_epoch:92 | loss:0.0002 | acc:100.0% | val_loss:2.2541 | val_acc:95.1984% | lr:0.005797 | time: 10s938ms
[2019-06-22 18:18:35,431][INFO]: LeNet | epoch:93/100 | tol_epoch:93 | loss:0.0002 | acc:100.0% | val_loss:2.2611 | val_acc:95.1587% | lr:0.006054 | time: 10s777ms
[2019-06-22 18:18:46,324][INFO]: LeNet | epoch:94/100 | tol_epoch:94 | loss:0.0002 | acc:100.0% | val_loss:2.2680 | val_acc:95.1587% | lr:0.006308 | time: 10s892ms
[2019-06-22 18:18:57,284][INFO]: LeNet | epoch:95/100 | tol_epoch:95 | loss:0.0002 | acc:100.0% | val_loss:2.2719 | val_acc:95.1984% | lr:0.006559 | time: 10s958ms
[2019-06-22 18:19:08,172][INFO]: LeNet | epoch:96/100 | tol_epoch:96 | loss:0.0002 | acc:100.0% | val_loss:2.2746 | val_acc:95.1190% | lr:0.006806 | time: 10s872ms
[2019-06-22 18:19:19,145][INFO]: LeNet | epoch:97/100 | tol_epoch:97 | loss:0.0002 | acc:100.0% | val_loss:2.2859 | val_acc:95.1587% | lr:0.007048 | time: 10s972ms
[2019-06-22 18:19:30,111][INFO]: LeNet | epoch:98/100 | tol_epoch:98 | loss:0.0002 | acc:100.0% | val_loss:2.2895 | val_acc:95.1587% | lr:0.007284 | time: 10s964ms
[2019-06-22 18:19:40,978][INFO]: LeNet | epoch:99/100 | tol_epoch:99 | loss:0.0002 | acc:100.0% | val_loss:2.2941 | val_acc:95.1587% | lr:0.007514 | time: 10s867ms
[2019-06-22 18:19:51,757][INFO]: LeNet | epoch:100/100 | tol_epoch:100 | loss:0.0002 | acc:100.0% | val_loss:2.3046 | val_acc:95.1190% | lr:0.007737 | time: 10s778ms
